scenario,anomaly_rate,method,f1,p,r,drift_f1,step_f1,spike_f1
0,0.0542,IF,0.1305955872975386,0.07014659542403069,0.9446494464944649,0.08974693451604486,0.03839441535776614,0.006826870562534134
0,0.0542,LOF,0.3433602347762289,0.2850182704019488,0.4317343173431734,0.23569023569023573,0.19361483007209065,0.0
0,0.0542,Deep,0.698069498069498,0.600265604249668,0.8339483394833949,0.5,0.3322259136212624,0.05655526992287918
0,0.0542,Ensemble,0.1364551863041289,0.07322345312077817,1.0,0.09447805380357832,0.039724576271186446,0.006732193348592972
1,0.092125,IF,0.19474661713982488,0.10792530510219085,0.9959294436906377,0.1417645452062278,0.0518401833023056,0.009948792977322604
1,0.092125,LOF,0.36096718480138174,0.26472450918302726,0.5671641791044776,0.2695238095238095,0.15332197614991486,0.0
1,0.092125,Deep,0.7926102502979738,0.7066950053134963,0.9023066485753053,0.6142270861833106,0.3241317898486198,0.06974358974358975
1,0.092125,Ensemble,0.19458745874587458,0.1077800526469728,1.0,0.1415953254518277,0.05185185185185186,0.00989522700814901
2,0.130625,IF,0.24895771292435975,0.14217687074829932,1.0,0.1743666169895678,0.07111927568560557,0.019401778496362168
2,0.130625,LOF,0.38576939562794693,0.34937888198757766,0.430622009569378,0.25025125628140704,0.21039127645926875,0.05441176470588235
2,0.130625,Deep,0.7562753036437246,0.655438596491228,0.8937799043062201,0.5557122708039492,0.31957547169811323,0.09619238476953906
2,0.130625,Ensemble,0.2480123412839682,0.1415605526957464,1.0,0.17367639782285996,0.0708218999085326,0.019318486718540383
